,precision,recall,f1-score,support
ABBR,0.7,0.78,0.74,9.0
DESC,0.79,0.98,0.87,138.0
ENTY,0.83,0.78,0.8,94.0
HUM,0.92,0.88,0.9,65.0
LOC,0.92,0.8,0.86,81.0
NUM,0.99,0.86,0.92,113.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.86,0.85,0.85,500.0
weighted avg,0.88,0.87,0.87,500.0
