,precision,recall,f1-score,support
ABBR,0.06,0.89,0.12,9.0
DESC,0.73,0.27,0.39,138.0
ENTY,0.91,0.55,0.69,94.0
HUM,0.76,0.89,0.82,65.0
LOC,0.76,0.9,0.82,81.0
NUM,1.0,0.82,0.9,113.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.7,0.72,0.62,500.0
weighted avg,0.82,0.64,0.68,500.0
